employee no,Line Manager,HOD/GM
2673,5380,
2674,2466,5380
2683,5380,
2688,4167,5342
2855,5415,4430
2868,5354,4430
2870,5354,4430
2872,5354,4430
2998,5354,4430
3000,1531,4430
3006,5354,4430
3008,5415,4430
3012,5415,4430
3225,5380,
3226,1531,4430
3228,1531,4430
3250,5342,
3259,5354,4430
3260,5380,
3286,5380,
3334,5342,
3335,1531,4430
3350,8,
3445,5415,4430
3453,5354,4430
3494,5354,4430
3540,5380,
3542,5380,
3550,5380,
3732,5415,4430
3733,5342,
3734,5342,
3867,5415,4430
3906,5415,4430
3944,1531,4430
3947,5214,5380
4039,5342,
4108,5214,5380
4167,5342,
4168,5415,4430
4207,2466,5380
4208,2466,5380
4215,2466,5380
4216,2466,5380
4217,1531,4430
4233,5342,
4302,5415,4430
4304,5415,4430
4312,5415,4430
4316,5354,4430
4340,5354,4430
4355,5415,4430
4406,5415,4430
4430,4997,
4439,2466,5380
4455,5342,
4462,4167,5342
4470,5342,
4496,5415,4430
4506,5380,
4509,5342,
4521,4167,5342
4532,1531,4430
4554,5342,
4569,1964,
4612,5415,4430
4613,5415,4430
4615,5415,4430
4632,5342,
4634,5214,5380
4672,5415,4430
4686,1531,4430
4689,1531,4430
4692,5354,4430
4710,5415,4430
4713,5354,4430
4748,2466,5380
4802,10040,
4882,5415,4430
4890,1531,4430
4918,5344,
4939,5415,4430
4952,5354,4430
4982,5415,4430
4997,10002,
5053,5380,
5077,4997,
5092,5354,4430
3350,8,
5111,5143,
5116,5143,
5117,5354,4430
5143,4997,
5152,4997,
5172,5342,
5178,5143,
5179,4997,
5181,5143,
5207,5179,
5214,5380,
5226,5380,
5257,5415,4430
5260,5143,
5263,5415,4430
5266,5415,4430
5269,5354,4430
5271,5354,4430
5299,5342,
5306,4167,5342
5309,5143,
5310,5415,4430
5312,5354,4430
5314,5143,
5324,5143,
5328,5143,
5332,5342,
5333,5354,4430
5335,5354,4430
5336,5143,
5337,5415,4430
5339,5143,
5340,5354,4430
5342,5143,
5344,4997,
5348,5354,4430
5351,5342,
5354,5354,4430
5357,5143,
5358,5415,4430
5360,5143,
5362,5143,
5363,5354,4430
5364,5354,4430
5365,5344,
5367,5143,
5368,5143,
5369,10076,
5370,5143,
5371,5354,4430
5372,5354,4430
5374,5354,4430
5375,5354,4430
5377,5143,
5379,5354,4430
5380,4997,
5381,5415,4430
5382,5143,
5385,5342,
5386,5342,
5391,5415,4430
5392,5354,4430
5393,5354,4430
5394,10076,
5397,5143,
5401,5354,4430
5402,1531,4430
5403,5380,
5404,5415,4430
5405,5143,
5406,1531,4430
5407,5380,
5408,5380,
5409,5380,
5410,5214,5380
5411,5344,
5413,5354,4430
5414,5354,4430
5415,5415,4430
3350,5143,
5417,4430,
5418,5380,
5419,5354,4430
5420,5380,
5421,5342,
5422,5344,
5423,5380,
6032,5143,
6034,5214,5380
6042,5143,
6046,1531,4430
6075,5380,
6084,5354,4430
6085,5143,
6087,5214,5380
6091,5380,
6094,5415,4430
6098,2466,5380
6145,2466,5380
6158,5354,4430
6184,5415,4430
6209,5143,
6246,5415,4430
6309,5342,
6320,5143,
6326,2466,5380
6348,5415,4430
6354,5214,5380
6459,5354,4430
6480,5415,4430
6565,1531,4430
6585,2466,5380
6586,5214,5380
6668,5342,
6713,2466,5380
6733,1531,4430
6847,5143,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
