employee_no,designation,grade,department/project,salary_details,basic,housing_allowance,transportation_allowance,FOT,food_allowance,living_allowance,ticket_allowance,others,arrears
3944,Plumber,3,Ghadan 21 Quickwins Wave1 - P282,2214,2214,0,0,286,0,0,0,0,0
3947,Tiler,3,Grove,2214,2200,0,0,286,0,14,0,0,0
4039,Driver - Light,3,West Yas,2430,2000,0,0,260,250,180,0,0,0
4108,HE Operator,4B,Grove,0,0,0,0,0,0,0,0,0,0
4145,Site Engineer,5A,Midfield Terminal Airport,0,0,0,0,0,0,0,0,0,0
4167,Wood Workshop Manager,6,Wood Workshop,0,0,0,0,0,0,0,0,0,0
4168,Security,3,West Yas,2240,2000,0,0,260,0,240,2500,0,0
4207,Leadman,3,Grove,958,760,0,0,99,0,198,0,0,0
4208,Labor,1,Grove,863,665,0,0,87,0,198,0,0,0
4215,Leadman,3,Grove,960,760,0,0,99,0,200,0,0,0
4216,Leadman,3,Grove,1150,700,0,0,91,250,200,0,0,0
4217,Leadman,3,Ghadan 21 Quickwins Wave1 - P282,960,760,0,0,99,0,200,0,0,0
4233,Labor,1,Labor Camp - Abu Dhabi,1113,665,0,0,87,250,198,0,0,0
4277,Welder,4A,Steel Workshop,0,0,0,0,0,0,0,0,0,0
4302,Electrician,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
4304,Electrician,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
4312,Electrician,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
4314,Electrician,4A,West Yas,0,0,0,0,0,0,0,0,0,0
4316,Electrician,4A,New Al-Ain Hospital - P273,0,0,0,0,0,0,0,0,0,0
4340,Driver - Heavy,3,Fairmont Hotel - P245,2930,2250,0,0,293,250,430,0,0,0
4355,Electrician,4A,Fairmont Hotel - P245,0,0,0,0,0,0,0,0,0,0
4406,Sr. Project Engineer,6,West Yas,0,0,0,0,0,0,0,0,0,0
4430,Head of Projects,8A,Operations,0,0,0,0,0,0,0,0,0,0
4439,Foreman,4A,Place Managed Buildings - P291,0,0,0,0,0,0,0,0,0,0
4455,Driver - Light,3,Human Resources,4315,2589,1000,0,0,315,0,0,411,0
4462,Carpenter,3,Wood Workshop,2342,1600,0,0,208,250,492,0,0,0
4470,Logistic & Support Officer,5B,Labor Camp - Abu Dhabi,0,0,0,0,0,0,0,0,0,0
4496,HE Operator,4B,Masdar City - P268,0,0,0,0,0,0,0,0,0,0
4506,Security,3,Grove,1774,1380,0,0,180,250,144,0,0,0
4508,Tiler,3,Royal Atlantis - P277,1868,1400,0,0,182,250,218,0,0,0
4509,Timekeeper,4B,Warehousing,0,0,0,0,0,0,0,0,0,0
4521,Foreman,4A,Wood Workshop,0,0,0,0,0,0,0,0,0,0
4525,Foreman,4A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
4532,Electrical Engineer,5A,Ghadan 21 Quickwins Wave1 - P282,0,0,0,0,0,0,0,0,0,0
4552,Sr. Site Engineer,6,Grove,0,0,0,0,0,0,0,0,0,0
4554,Receptionist,4B,Administration,0,0,0,0,0,0,0,0,0,0
4569,Electrical Design Engineer,5A,Estimation,0,0,0,0,0,0,0,0,0,0
4589,Steel Fixer,3,Fairmont Hotel - P245,1150,1150,0,0,150,0,0,0,0,0
4612,Stamped Concrete Applicator,3,West Yas,1250,1250,0,0,163,0,0,0,0,0
4613,Mason,3,Fairmont Hotel - P245,1371,1371,0,0,179,0,0,0,0,0
4615,Mason,3,Al Mamsha Saadiyat - P274,1371,1371,0,0,179,0,0,0,0,0
4632,Plumber,3,Warehousing,1575,1325,0,0,173,250,0,0,0,0
4634,Plumber,3,Grove,1150,1150,0,0,150,0,0,0,0,0
4658,Mason,3,Royal Atlantis - P277,1550,1300,0,0,169,250,0,0,0,0
